"Table S1. Sample information including scientific name based on nuclear assignment, sex, date of collection, and latitude and longitude of sampling location. Plumage scores for samples with available data are also provided. Per sample accession numbers associated with raw mtDNA and nuclear Illumina Hiseq data are provided."														
Sample.ID	Scientific_Name	Common_Name	Nuclear_Group	Plumage_Score	Sex	Age	Country	State/Province	Longitude	Latitude	Date Collected	Genbank mtDNA Accession Num.	Genbank ddRAD Raw Read SRA	Genbank ddRAD Raw Read Accession Num.
PL944	Anas platyrhynchos	Wild Mallard	Wild x Feral Mallard	Unavailable Data	Female	A	United States	NJ	40.345	-74.48055556	13-Oct-09	MK425489	PRJNA516035	SAMN10781552 
PL112316	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	Immature	United States	NM	32.953968	-107.295992	23-Nov-16	TBD	TBD	TBD
PL121317	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	Immature	United States	NM	32.141221	-106.699413	13-Dec-17	TBD	TBD	TBD
PL824	Anas platyrhynchos	Wild Mallard	Wild x Feral Mallard	Unavailable Data	Female	I	United States	NY	42.6839	-76.9572	5-Dec-09	Not Sequenced	SRP064125	SRX1281069
PL832	Anas platyrhynchos	Wild Mallard	Wild x Feral Mallard	Unavailable Data	Male	I	United States	NY	44.33583333	-75.91472222	1-Dec-09	MK425459	PRJNA516035	SAMN10781510 
PL844	Anas platyrhynchos	Wild Mallard	Wild x Feral Mallard	Unavailable Data	Female	A	United States	NY	41.8528	-73.9222	26-Nov-09	MK425462	PRJNA516035	SAMN10781513 
PL701	Anas platyrhynchos	Wild Mallard	Wild x Feral Mallard	Unavailable Data	Male	A	United States	NC	35.92055556	-79.08388889	8-Oct-09	MK425450	PRJNA516035	SAMN10781445 
PL262	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Female	I	United States	ND	48.81	-103.49	19-Oct-09	MK425397	PRJNA516035	SAMN10781364 
PL263	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Female	I	United States	ND	48.034722	-98.944167	17-Nov-09	MK425398	PRJNA516035	SAMN10781365 
PL264	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	I	United States	ND	45.978889	-97.810278	16-Nov-09	MK425399	PRJNA516035	SAMN10781366 
PL266	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	I	United States	ND	45.978889	-97.810278	15-Nov-09	MK425401	PRJNA516035	SAMN10781368 
KGM1395	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	HY	Canada	Saskatchewan	52.1	-106.7	25-Oct-06	MK425368	PRJNA516035	SAMN10781296 
KGM1400	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Female	Unk	Canada	Saskatchewan	53.3	-110	9-Sep-06	MK425369	PRJNA516035	SAMN10781297 
KGM1404	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Female	Unk	Canada	Saskatchewan	52	-107	30-Oct-06	MK425370	PRJNA516035	SAMN10781298 
KGM1405	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Female	Unk	Canada	Saskatchewan	54.27	-110.8	4-Nov-06	MK425371	PRJNA516035	SAMN10781299 
KGM1406	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	Unk	Canada	Saskatchewan	52.1	-106.7	17-Oct-06	MK425372	PRJNA516035	SAMN10781300 
KGM1407	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	Unk	Canada	Saskatchewan	50.8	-104.9	10-Nov-06	MK425373	PRJNA516035	SAMN10781301 
PL267	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	I	United States	SD	45.333611	-97.519444	4-Nov-09	MK425402	PRJNA516035	SAMN10781369 
PL269	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	A	United States	SD	45.333611	-97.519444	2009	MK425404	PRJNA516035	SAMN10781371 
PL270	Anas platyrhynchos	Wild Mallard	Wild x Feral Mallard	Unavailable Data	Male	I	United States	SD	44.228333	-97.308889	15-Nov-09	MK425405	PRJNA516035	SAMN10781372 
PL272	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Female	I	United States	SD	45.333611	-97.519444	7-Nov-09	MK425407	PRJNA516035	SAMN10781374 
PL852	Anas platyrhynchos	Wild Mallard	Wild x Feral Mallard	Unavailable Data	Female	A	United States	VT	44.9442	-72.2044	10-Oct-09	MK425464	PRJNA516035	SAMN10781515 
DICA012718	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Female	Adult	United States	California	37.198227	-120.902249	27-Jan-18	TBD	TBD	TBD
PL120516	Anas diazi	Mexican duck	Northern	Unavailable Data	Male	A	United States	California	37.287222	-120.890657	5-Dec-16	TBD	TBD	TBD
BF3	Anas platyrhynchos	Wild Mallard	WILD.MALL	Unavailable Data	Female	NA	United States	New Mexico	33.80211	-106.8784	14-Apr-17	TBD	TBD	TBD
BM11	Anas platyrhynchos	Wild Mallard	WILD.MALL	Unavailable Data	Male	NA	United States	New Mexico	33.80211	-106.8784	24-Jul-17	TBD	TBD	TBD
BM12	Anas platyrhynchos	Wild Mallard	WILD.MALL	Unavailable Data	Male	NA	United States	New Mexico	33.80211	-106.8784	25-Jul-17	TBD	TBD	TBD
BM13	Anas platyrhynchos	Wild Mallard	WILD.MALL	Unavailable Data	Male	NA	United States	New Mexico	33.80211	-106.8784	27-Jul-17	TBD	TBD	TBD
BM7	Anas platyrhynchos	Wild Mallard	WILD.MALL	Unavailable Data	Male	NA	United States	New Mexico	33.80211	-106.8784	17-Jul-17	TBD	TBD	TBD
BF6	Anas platyrhynchos	Wild Mallard	WILD.MALL	Unavailable Data	Female	NA	United States	New Mexico	33.80211	-106.8784	17-Jul-17	TBD	TBD	TBD
KGM946	Anas platyrhynchos	Wild Mallard	WILD.MALL	Unavailable Data	Male	Unk	United States	New Mexico	33.2333	-107.317	2003	KT762016	 PRJNA295689	SAMN04095874
